РПД,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
РПД_000076912.docx,Б1.О.01.02 «Всеобщая история»,«Всеобщая история»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,1,[],0.5078004809560508,0.6154403745599906,0.4640081168562317
РПД_000106082.docx,"Б1.В.ДВ.13.01 «Цифровое общество, введение в искусственный интеллект и разговорные боты»","«Цифровое общество, введение в искусственный интеллект и разговорные боты»",«Внутренняя политика и лидерство»,бакалавр,очная,2023,1,[],0.40764391660957,0.560260195661392,0.8692198958523019
РПД_000095082.docx,Б1.О.17 «Государственная гражданская и муниципальная служба в Российской Федерации»,«Государственная гражданская и муниципальная служба в Российской Федерации»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2023,4,[],0.34529638127985113,0.4485159883836228,0.5287715890380967
РПД_000078982.docx,Б1.О.05 «Социология»,«Социология»,«Государственная и муниципальная служба»,бакалавр,очная,2022,3,"['Высшая математика', 'Информационные технологии в управлении']",0.4092341214012452,0.36530837396913385,0.5125761138865799
РПД_000079212.docx,Б1.О.20 «Деловые коммуникации»,«Деловые коммуникации»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2022,3,[],0.49700593739361176,0.49325821918070856,0.6266093089139251
РПД_000084138.docx,Б1.О.22 «Теория государства и права»,«Теория государства и права»,«Государственная и муниципальная служба»,бакалавр,очная,2022,1,[],0.49325455226234427,0.649858434679794,0.6100998578200065
РПД_000107772.docx,Б1.В.02 «Управление проектами и программами»,«Управление проектами и программами»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,7,[],0.4415195623946351,0.4511120584005387,0.3535031135273039
РПД_000106562.docx,Б1.В.ДВ.06.02 «Цифровое общество и управление цифровой репутацией»,«Цифровое общество и управление цифровой репутацией»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,1,[],0.48089229041351034,0.7219427886698296,0.8830050701360727
РПД_000077261.docx,К.М.03.03 «Психология управления»,«Психология управления»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,"1, 2",[],0.3506670141106285,0.40317920466126334,0.4329940210259166
РПД_000094212.docx,Б1.В.12 «Теория систем и системный анализ»,«Теория систем и системный анализ»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,2,['Логика'],0.619374812199382,0.6456952948509158,0.4682145308917448
РПД_000110592.docx,Б1.В.03.ДВ.02.0 «Международный опыт государственного управления (Experiencia internacional en la materia de la dirección estatal)»,«Международный опыт государственного управления (Experiencia internacional en la materia de la dirección estatal)»,«Политика и право (российско-испанская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,6,[],0.33310201707155723,0.4241391052458513,0.4149908526073827
РПД_000088072.docx,Б1.В.20.ДВ.06.0 «Аудит и контроллинг кадрового состава государственного и муниципального органа»,«Аудит и контроллинг кадрового состава государственного и муниципального органа»,«Государственная и муниципальная служба»,бакалавр,очная,2022,7,[],0.49303916897397226,0.4444973882664823,0.46429488312380657
РПД_000109692.docx,ФТД.04 «Правовые основы избирательного процесса»,«Правовые основы избирательного процесса»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,2,[],0.41363329541341676,0.3626703994349331,0.21566792507027865
РПД_000108272.docx,Б1.В.20.ДВ.04.0 «Оценка эффективности государственных и муниципальных проектов и программ»,«Оценка эффективности государственных и муниципальных проектов и программ»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2023,8,[],0.42991313117541763,0.43727986638599653,0.46009694512710225
РПД_000096793.docx,К.М.01.02 «Физическая культура и спорт»,«Физическая культура и спорт»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,"1, 2",[],0.17727091949322996,0.7817856754038324,0.3459497253111778
РПД_000076679.docx,ФТД.02 «Этно-религиозные традиции народов России: история и современные процессы»,«Этно-религиозные традиции народов России: история и современные процессы»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,2,[],0.35115620516452106,0.3165826626830157,0.6393587525231418
РПД_000083890.docx,Б1.В.ДВ.06.02 «Экологическая политика»,«Экологическая политика»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,2,[],0.356548229079705,0.5363475230854711,0.717621890929653
