,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
255,Б1.В.03 «Риск-ориентированное государственное регулирование»,«Риск-ориентированное государственное регулирование»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2023,7,[],0.3375483727643324,0.42156007205498963,0.41013215862817637
256,ФТД.07 «Китайский язык в повседневной и деловой коммуникации»,«Китайский язык в повседневной и деловой коммуникации»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,"1, 2",[],0.41363329541341676,0.4201728952004068,0.596972242599622
257,Б1.О.01.01 «История России»,«История России»,«Цифровое государство»,бакалавр,очная,2022,1,[],0.5078004809560508,0.6008203997518833,0.8462137139988003
258,К.М.07.01 «Теория и практика достижения целей устойчивого развития»,«Теория и практика достижения целей устойчивого развития»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,3,[],0.41214361816727835,0.5262707628469153,0.312368164632513
259,ФТД.04 «Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО»,«Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,1,[],0.41363329541341676,0.5352823565267688,0.5299390248239558
260,К.М.09.05 «Деловая этика»,«Деловая этика»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,5,[],0.24890993009365636,0.3315743829792695,0.5067251617435995
261,Б1.В.ДВ.10.02 «Глобальный контекст бизнеса и управления»,«Глобальный контекст бизнеса и управления»,«Цифровое государство»,бакалавр,очная,2023,7,['Управление государственными целевыми программами'],0.3246618051643216,0.5810147818042155,0.6876339919749018
262,Б1.О.25 «Противодействие коррупции»,«Противодействие коррупции»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,7,[],0.4764126596598359,0.5728566184362178,0.5537953320396602
263,Б1.О.02 «Философия»,«Философия»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,2,[],0.4764126596598359,0.6672057284000392,0.5987383174720128
264,Б1.В.09 «Обеспечение политической стабильности во внутренней политике Российской Федерации»,«Обеспечение политической стабильности во внутренней политике Российской Федерации»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,4,"['Информационно-аналитическое сопровождение деятельности органов государственной власти и местного самоуправления', 'Институты гражданского общества']",0.3246618051643216,0.35005656852103306,0.5590832309813814
265,Б1.О.02 «Философия»,«Философия»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2022,2,[],0.46633547475536175,0.6506674971801942,0.5860337126105478
266,Б1.О.03 «Психология»,«Психология»,«Эффективное государственное управление»,бакалавр,очная,2023,4,[],0.5642480887386508,0.0,0.36491683239790007
267,К.М.09.03 «Стратегический менеджмент»,«Стратегический менеджмент»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,6,[],0.2686975918700535,0.3909369103473607,0.5816975915075225
268,Б1.О.01.03 «История государственного управления»,«История государственного управления»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2022,2,[],0.5078004809560508,0.0,0.7736978158573324
269,Б1.О.13 «Теория управления»,«Теория управления»,«Государственная и муниципальная служба»,бакалавр,очная,2022,1,[],0.5743689635977796,0.6049549882748375,0.5202234172971738
270,Б1.О.13 «Теория управления»,«Теория управления»,«Эффективное государственное управление»,бакалавр,очная,2023,1,[],0.4331230086604377,0.6049549882748375,0.5202234172971738
271,Б1.В.15.ДВ.01.0 «Трудовое право»,«Трудовое право»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,8,[],0.46755443344983943,0.6878561618527657,0.6374683610280156
272,Б1.В.18 «Иностранный язык в профессиональной сфере»,«Иностранный язык в профессиональной сфере»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,"5, 6, 8, 7",[],0.5372722155615338,0.7037250258135274,0.5518807643896436
273,Б1.В.ДВ.04.03 «География человека»,«География человека»,«Политика и право (российско-испанская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,3,[],0.3417963807069084,0.3779509796305565,0.4061949587936304
274,Б1.В.09.ДВ.10.0 «Инвестиционная политика»,«Инвестиционная политика»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,8,[],0.380211698878375,0.4703455768203157,0.5028110421942524
275,Б1.О.10 «Экономическая теория»,«Экономическая теория»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,"1, 2",[],0.6498414190308022,0.6393042235641153,0.8020284590352661
276,Б1.В.ДВ.01.02 «Цифровые технологии в политическом управлении»,«Цифровые технологии в политическом управлении»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,8,"['Институты гражданского общества', 'Статистические методы в государственном и муниципальном управлении', 'Практикум ""Внутренняя политика""', 'Стратегическое управление муниципалитетами', 'Муниципальное управление и местное самоуправление']",0.5129544397150343,0.48562609710010196,0.4217644349076202
277,Б1.В.ДВ.04.01 «Экономическое право (Droit public économique)»,«Экономическое право (Droit public économique)»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,5,[],0.470786209036484,0.5142866230600115,0.6583340058190028
278,Б1.О.01.02 «Всеобщая история»,«Всеобщая история»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,2,[],0.5078004809560508,0.5277234781415236,0.4640081168562317
279,Б1.О.16 «Принятие и исполнение управленческих решений»,«Принятие и исполнение управленческих решений»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,3,[],0.4305027938414103,0.48783587246518056,0.4134933834980374
280,Б1.В.04 «Мировая экономика»,«Мировая экономика»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,5,[],0.3417963807069084,0.42100358435286694,0.6264321455092178
281,К.М.01.02 «Физическая культура и спорт»,«Физическая культура и спорт»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,"1, 2",[],0.17727091949322996,0.6437724397020991,0.41623605809651687
282,ФТД.ДВ.01.01 «Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Эффективное государственное управление»,бакалавр,очно-заочная,2022,1,[],0.5377657512166563,0.4210264161944591,0.5340095542179691
283,Б1.О.06 «Иностранный язык»,«Иностранный язык»,«Политика и право (российско-испанская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,"3, 4, 1, 2",[],0.5651057959072551,0.7184160486295661,0.589009095747581
284,Б1.В.09.04 «Социальная экология»,«Социальная экология»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,3,[],0.3246737330131761,0.3825374141967401,0.2750712904061531
285,ФТД.01 «Переговорный процесс»,«Переговорный процесс»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,4,[],0.2829401102517675,0.49157725654179246,0.3731351973043725
286,Б1.В.ДВ.04.01 «Налоги и налогообложение»,«Налоги и налогообложение»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,7,"['Экономика фирмы', 'Отраслевая экономика', 'Финансы', 'Бухгалтерский учет и аудит', 'Деньги, кредит, банки', 'Рынок ценных бумаг', 'Финансовый контроль и государственный аудит', 'Экономика социальной сферы', 'Экономика труда']",0.5617922778786241,0.609140696500385,0.49489769894964825
287,Б1.О.20 «Деловые коммуникации»,«Деловые коммуникации»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,3,[],0.4777432224123268,0.49325821918070856,0.6266093089139251
288,Б1.В.09.ДВ.02.0 «Политические системы»,«Политические системы»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,6,[],0.470786209036484,0.5900465602785573,0.5077489513422165
289,К.М.11.ДВ.01.01 «Управление рисками чрезвычайных ситуаций»,«Управление рисками чрезвычайных ситуаций»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,7,[],0.41867277971902883,0.48626251339141,0.5402338531781973
290,Б1.В.20.01 «Информационные системы (Project Management)»,«Информационные системы (Project Management)»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,5,['Информационные технологии в государственном и муниципальном управлении'],0.3901634282781958,0.6288493641990935,0.42606910056273767
291,Б1.В.14.03 «Финансовое право»,«Финансовое право»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,7,['Гражданское право'],0.5890692517605508,0.559828553025218,0.5342046428595363
292,Б1.В.ДВ.06.02 «Организационное развитие и управление изменениями»,«Организационное развитие и управление изменениями»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,8,[],0.3189613543811608,0.41161145551637013,0.33477499567891095
293,Б1.В.22.ДВ.03.0 «Инвестиционный анализ»,«Инвестиционный анализ»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,7,"['Прогнозирование и планирование', 'Цифровое общество, введение в искусственный интеллект и разговорные боты', 'Цифровое общество и управление цифровой репутацией']",0.25518830275578736,0.30618709135783323,0.5359643475552109
294,Б1.О.06 «Иностранный язык»,«Иностранный язык»,«Эффективное государственное управление»,бакалавр,очно-заочная,2022,"3, 4, 1, 2",[],0.6219661163712457,0.7864199151003354,0.6129800270190503
295,Б1.В.07 «Государственное регулирование экономики»,«Государственное регулирование экономики»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,3,[],0.43247761726693346,0.4047060507309388,0.6350025058819752
296,К.М.01.01 «Безопасность жизнедеятельности»,«Безопасность жизнедеятельности»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,1,[],0.35127634890018317,0.5962672943421594,0.4882942800528316
297,Б1.В.ДВ.06.01 «Государственно-частное партнерство»,«Государственно-частное партнерство»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,7,"['Политическая профессиология', 'Управление, ориентированное на результат', 'Социальный психоанализ']",0.2984609386445807,0.5003581257827644,0.4742014933933666
298,Б1.В.20.ДВ.03.0 «Государственная кадровая политика»,«Государственная кадровая политика»,«Государственная и муниципальная служба»,бакалавр,очная,2022,7,[],0.36102353342235555,0.47869731827384127,0.2764249681564204
299,К.М.10.ДВ.03.02 «Контрольно-надзорная деятельность органов государственной власти»,«Контрольно-надзорная деятельность органов государственной власти»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,5,[],0.37855313218781567,0.45134927761232596,0.3877541960366206
300,Б1.О.04 «Политология»,«Политология»,«Государственная и муниципальная служба»,бакалавр,очная,2022,6,[],0.3937896442994829,0.43248979976931967,0.6176022695473387
301,К.М.04.03 «Трудовое право»,«Трудовое право»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,2,[],0.2619862341381817,0.3641045948170558,0.6541836589253026
302,Б1.О.24 «Административное право»,«Административное право»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,5,"['Теория государства и права', 'Конституционное право']",0.29653887223618236,0.643249762862041,0.701978059453596
303,Б1.В.19.ДВ.01.0 «Лидерство на государственной службе»,«Лидерство на государственной службе»,«Государственная и муниципальная служба»,бакалавр,очная,2023,6,[],0.4007848928074864,0.5629688997888926,0.4077266707963453
304,ФТД.ДВ.01.01 «Образовательная среда»,«Образовательная среда»,«Политика и право (российско-испанская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,1,[],0.3446657611217678,0.42272667335656877,0.35727781287670596
305,"Б1.В.19.02 «Управление информационной инфраструктурой (Cultures, Webs and Entrepreneurship)»","«Управление информационной инфраструктурой (Cultures, Webs and Entrepreneurship)»",«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,7,"['Информационные системы', 'Информационные технологии в государственном и муниципальном управлении']",0.3901634282781958,0.6288493641990935,0.3454325215322604
306,Б1.В.17.ДВ.07.0 «Антикризисный менеджмент»,«Антикризисный менеджмент»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,8,"['Технологии формирования имиджа', 'Профессиональные творческие студии', 'Коммуникационный консалтинг', 'Консалтинг в рекламе и PR', 'Компьютерный дизайн']",0.5183593830649647,0.35352382997725584,0.4492772682821017
307,Б1.В.08 «Основы математического моделирования социально-экономических процессов»,«Основы математического моделирования социально-экономических процессов»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,3,[],0.3063482400387577,0.45934770641154643,0.4974913734932684
308,Б1.О.01.03 «История государственного управления»,«История государственного управления»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,2,[],0.48805106370440765,0.6675890210032301,0.7736978158573324
309,Б1.О.01.02 «Всеобщая история»,«Всеобщая история»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,2,[],0.5078004809560508,0.5277234781415236,0.4640081168562317
310,Б1.В.ДВ.05.02 «Государственный и муниципальный заказ»,«Государственный и муниципальный заказ»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,7,[],0.26320178248862686,0.4842643024091418,0.41527145402047344
311,ФТД.06.01 «Управление НКО»,«Управление НКО»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2023,5,[],0.41363329541341676,0.6231368588920017,0.42019044454754884
312,Б1.О.25 «Противодействие коррупции»,«Противодействие коррупции»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,4,['Философия'],0.4519443799371655,0.5728566184362178,0.5537953320396602
313,Б1.В.ДВ.02.02 «Муниципальное управление и местное самоуправление»,«Муниципальное управление и местное самоуправление»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,6,[],0.26413728942603454,0.38802919728252333,0.4926166331997668
314,ФТД.ДВ.02.02 «Тайм-менеджмент»,«Тайм-менеджмент»,«Государственная и муниципальная служба»,бакалавр,очная,2022,1,[],0.41363329541341676,0.41219926212942515,0.36108098711331127
315,Б1.В.04.02 «Предпринимательское право»,«Предпринимательское право»,«Управление государственными проектами и программами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,7,[],0.38722217029587547,0.6841636521339078,0.4143867130165117
316,Б1.О.01.03 «История государственного управления»,«История государственного управления»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,2,[],0.5078004809560508,0.6008203997518833,0.7765654896902996
317,Б1.О.18 «Управление человеческими ресурсами»,«Управление человеческими ресурсами»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,6,[],0.535839776196318,0.5523198307340813,0.49702479130863997
318,Б1.В.ДВ.03.01 «Механизмы разрешения конфликтов в системе государственного и муниципального управления»,«Механизмы разрешения конфликтов в системе государственного и муниципального управления»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,8,[],0.3200119369774922,0.3488432633512621,0.47829886299689456
319,Б1.В.ДВ.08.01 «Управление государственными целевыми программами»,«Управление государственными целевыми программами»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,8,"['История внутренней политики', 'Региональное управление и территориальное планирование']",0.4305226744680756,0.3927242765385271,0.6570704438842127
320,К.М.01.01 «Безопасность жизнедеятельности»,«Безопасность жизнедеятельности»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,1,[],0.21251727363479864,1.0,0.5685573604880675
321,К.М.01.04 «Системный анализ»,«Системный анализ»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,1,[],0.6067901920969689,0.6226470021149393,0.4818973930063555
322,К.М.12.ДВ.01.08 «Физическая культура и спорт: баскетбол»,«Физическая культура и спорт: баскетбол»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,"3, 4, 2, 5, 6, 1",[],0.4027329730201643,0.6437724397020991,0.29867316723582116
323,Б1.В.05 «Теория международных отношений»,«Теория международных отношений»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,5,[],0.3417963807069084,0.41121180252119294,0.6557571612038097
324,Б1.О.19 «Этика государственной и муниципальной службы»,«Этика государственной и муниципальной службы»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,5,[],0.46745000117578905,0.47559003201349104,0.6117382124675725
325,ФТД.04 «Правовые основы избирательного процесса»,«Правовые основы избирательного процесса»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,2,[],0.41363329541341676,0.3626703994349331,0.21566792507027865
326,Б1.О.01 «Безопасность жизнедеятельности»,«Безопасность жизнедеятельности»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,3,[],0.3384856349181891,0.5524206760319784,0.4882942800528316
327,Б1.В.09 «Электронное правительство и государственное управление в цифровую эпоху»,«Электронное правительство и государственное управление в цифровую эпоху»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,6,[],0.32470868068758224,0.4603747438846832,0.47880390832784187
328,Б1.О.12 «Введение в профессиональную деятельность»,«Введение в профессиональную деятельность»,«Управление государственными проектами и программами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,1,[],0.49778133661473933,0.536185463685031,0.6740736121482802
329,Б1.В.15 «Внешнеэкономическая и внешнеполитическая деятельность государственных органов»,«Внешнеэкономическая и внешнеполитическая деятельность государственных органов»,«Эффективное государственное управление»,бакалавр,очная,2022,8,[],0.3246618051643216,0.3522349662055382,0.4690438462569622
330,Б1.В.20.ДВ.06.0 «Кадровый консалтинг в системе государственного и муниципального управления»,«Кадровый консалтинг в системе государственного и муниципального управления»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,7,[],0.49303916897397226,0.4444973882664823,0.6261376896007945
331,Б1.В.ДВ.06.02 «Взаимодействие органов власти с НКО»,«Взаимодействие органов власти с НКО»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,8,[],0.3230805974354549,0.5671404436742052,0.45003779233828556
332,Б1.В.21.ДВ.02.0 «Стандарты профессиональной деятельности государственных и муниципальных служащих»,«Стандарты профессиональной деятельности государственных и муниципальных служащих»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,5,[],0.3598155379800166,0.4234069919590463,0.27039441091905797
333,Б1.В.ДВ.05.03 «Оценка эффективности государственных проектов и программ»,«Оценка эффективности государственных проектов и программ»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,8,[],0.4488735226995399,0.505860234882789,0.5613055213413387
334,Б1.В.20.ДВ.03.0 «Механизмы реализации государственной кадровой политики»,«Механизмы реализации государственной кадровой политики»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,7,[],0.36102353342235555,0.47869731827384127,0.2766688991336986
335,Б1.В.15 «Информационно-аналитическое сопровождение деятельности органов государственной власти и местного самоуправления»,«Информационно-аналитическое сопровождение деятельности органов государственной власти и местного самоуправления»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,2,[],0.6347674046728978,0.5829504892216921,0.4733935514553014
336,Б1.В.ДВ.11.02 «Управление в сфере культуры»,«Управление в сфере культуры»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,7,[],0.5991901180730078,0.4633982542343752,0.6679402941469302
337,Б1.В.ДВ.01.02 «Сравнительное правоведение»,«Сравнительное правоведение»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,6,[],0.33310201707155723,0.4042164423438111,0.5523977613396747
338,Б1.В.09.ДВ.13.0 «Социальные изменения (Social change)»,«Социальные изменения (Social change)»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,6,[],0.32555301299770617,0.5168252838796056,0.4003829357185001
339,Б1.В.09.ДВ.03.0 «Внешняя политика Российской Федерации»,«Внешняя политика Российской Федерации»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,7,[],0.48023933825356196,0.5332810233295379,0.38543960281210576
340,Б1.В.07 «Государственное регулирование экономики»,«Государственное регулирование экономики»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,3,[],0.539052213564381,0.6023319926975668,0.5924997801677341
341,Б1.В.09.ДВ.01.0 «Географические информационные системы»,«Географические информационные системы»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,4,[],0.3745611034981093,0.6043116665058167,0.2976434412433183
342,Б1.О.15 «Прогнозирование и планирование»,«Прогнозирование и планирование»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,4,['Теория управления'],0.5553145903076401,0.6339719650846231,0.5089321569855799
343,Б1.В.ДВ.02.01 «Стратегическое управление муниципалитетами»,«Стратегическое управление муниципалитетами»,«Эффективное государственное управление»,бакалавр,очная,2022,6,[],0.26413728942603454,0.4431556713098157,0.5766745588627799
344,К.М.10.01 «Планирование и прогнозирование социально-экономического развития»,«Планирование и прогнозирование социально-экономического развития»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,5,[],0.42508213139440143,0.39832349535016276,0.43576547787499387
345,Б1.В.ДВ.05.01 «Инновационные технологии в управлении государственной и муниципальной службой»,«Инновационные технологии в управлении государственной и муниципальной службой»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,7,[],0.37518752518181964,0.38437415734550984,0.386467577641278
346,ФТД.05 «Английский язык в повседневной жизни(General English/ Everyday English)»,«Английский язык в повседневной жизни(General English/ Everyday English)»,«Политика и право (российско-испанская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,2,[],0.3446657611217678,0.6886689211168524,0.59381485645994
347,Б1.О.07 «Русский язык и культура речи»,«Русский язык и культура речи»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,1,[],0.3930983450762544,0.5012221621472127,0.4474955271479325
348,К.М.10.ДВ.03.01 «Оценка эффективности государственного и муниципального управления»,«Оценка эффективности государственного и муниципального управления»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,5,[],0.37855313218781567,0.3977462368986438,0.30731943257022043
349,Б1.В.ДВ.04.01 «Общая культура»,«Общая культура»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,5,[],0.3446657611217678,0.3939335693538785,0.2849115281605753
350,Б1.В.16.02 «Государственное регулирование экономики»,«Государственное регулирование экономики»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,3,[],0.42991313117541763,0.47444221479920795,0.6398046334308071
351,Б1.О.12 «Введение в профессиональную деятельность»,«Введение в профессиональную деятельность»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,1,[],0.46233194586356624,0.536185463685031,0.6740736121482802
352,Б1.О.23 «Муниципальное право»,«Муниципальное право»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,4,[],0.37857577713634954,0.3188451752719148,0.4330555445937632
353,ФТД.06 «Правовые основы избирательного процесса»,«Правовые основы избирательного процесса»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,2,[],0.3446657611217678,0.38544250600859514,0.21566792507027865
354,Б1.В.18 «Иностранный язык в сфере профессиональной коммуникации»,«Иностранный язык в сфере профессиональной коммуникации»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,"5, 6, 8, 7",['Профессиональные творческие студии'],0.8395127272179986,0.6785626381437408,0.6381997681268964
355,Б1.О.28 «Основы национальной безопасности»,«Основы национальной безопасности»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,6,[],0.3929003204354287,0.4786034267164769,0.35703889862447674
356,Б1.В.ДВ.12.02 «Кросс-культурный менеджмент: межправительственные отношения»,«Кросс-культурный менеджмент: межправительственные отношения»,«Цифровое государство»,бакалавр,очная,2022,8,[],0.2683041402852849,0.5207385046151796,0.5059767366669057
357,Б1.В.02 «История внутренней политики»,«История внутренней политики»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,4,[],0.4305226744680756,0.35704718486094894,0.720375836473553
358,Б1.В.ДВ.01.02 «Цифровое общество и управление цифровой репутацией»,«Цифровое общество и управление цифровой репутацией»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,1,[],0.5495227613490956,0.7335876382526435,0.8830050701360727
359,Б1.О.28 «Основы национальной безопасности»,«Основы национальной безопасности»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,5,[],0.39300839196684156,0.4786034267164769,0.35703889862447674
360,Б1.О.26 «Основы российской государственности»,«Основы российской государственности»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2023,1,[],0.5231559849630936,0.8627310053787886,0.3718675234351397
361,Б1.О.19 «Этика государственной и муниципальной службы»,«Этика государственной и муниципальной службы»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2023,5,[],0.44285924059508214,0.5273428432541474,0.6769573568318326
