,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
2863,Б1.О.01.02 «Всеобщая история»,«Всеобщая история»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,1,[],0.4805129945697671,0.6008203997518833,0.4640081168562317
2864,"Б1.В.20.ДВ.03.0 «Управление, ориентированное на результат»","«Управление, ориентированное на результат»",«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2023,6,[],0.5173158984344369,0.34740271527090505,0.46355737969407496
2865,Б1.В.03.ДВ.04.0 «История России (History of Russia)»,«История России (History of Russia)»,«Политика и право (российско-испанская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,5,[],0.35192330343076866,0.35909506617719505,0.9559427970834885
2866,Б1.О.14 «Система государственного и муниципального управления»,«Система государственного и муниципального управления»,«Государственная и муниципальная служба»,бакалавр,очная,2022,"3, 2",[],0.40064159377142833,0.5314565088509555,0.6274178518987811
2867,Б1.В.ДВ.09.01 «Стратегические платформы цифровых инноваций»,«Стратегические платформы цифровых инноваций»,«Цифровое государство»,бакалавр,очная,2023,7,['Цифровое государство и современные организации: основы управления'],0.381002306588477,0.5940188121274955,0.6418530956205749
2868,Б1.О.26 «Конституционное право»,«Конституционное право»,«Эффективное государственное управление»,бакалавр,очная,2023,3,[],0.25423718403112144,0.4890140375268003,0.6286410891597729
2869,Б1.О.07 «Русский язык и культура речи»,«Русский язык и культура речи»,«Политика и право (российско-испанская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,2,[],0.5324651678583728,0.48765065107542604,0.4416261470780273
2870,ФТД.ДВ.02.02 «Самоорганизация учебно-профессиональной деятельности»,«Самоорганизация учебно-профессиональной деятельности»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,1,[],0.3189613543811608,0.6421593703881033,0.3002825039360281
2871,"Б1.В.ДВ.13.01 «Цифровое общество, введение в искусственный интеллект и разговорные боты»","«Цифровое общество, введение в искусственный интеллект и разговорные боты»",«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2023,1,[],0.5062974654295017,0.7322139269245329,0.8692198958523019
2872,Б1.В.06 «Региональная экономика и управление»,«Региональная экономика и управление»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,5,[],0.2536537201655441,0.5558896787817837,0.5819124569839125
2873,Б1.О.20 «Деловые коммуникации»,«Деловые коммуникации»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,2,[],0.5281840835124215,0.6895441222045011,0.6313603342568107
2874,Б1.В.10.ДВ.04.0 «Земельное право»,«Земельное право»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,7,[],0.2914691987523483,0.45114469203175867,0.5154431690347311
2875,К.М.10.01 «Планирование и прогнозирование социально-экономического развития»,«Планирование и прогнозирование социально-экономического развития»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,5,[],0.42508213139440143,0.47142894461715235,0.43576547787499387
2876,Б1.В.09.ДВ.08.0 «Администрирование природоохранной деятельности»,«Администрирование природоохранной деятельности»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,6,[],0.4042718286182547,0.3792546122018565,0.355031961199329
